|id |content                                                                                                                                                                                                                                                                                                                                                               |metadata                                                                                                                                                                                                                                                                                                                         |
|---|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|1  |Question: How do I reset my password?¶Answer: You can reset your password by clicking on the 'Forgot Password' link on the login page.                                                                                                                                                                                                                                |"{\"intent\": \"reset_password\", \"category\": \"Account Access\", \"requires_handoff\": false, \"clarifying_questions\": [\"Do you have access to the email address associated with your account?\"], \"confidence_threshold\": 0.9}"                                                                                          |
|2  |Question: Where can I find my order history?¶Answer: Your order history is located in the 'My Account' section under the 'Orders' tab.                                                                                                                                                                                                                                |"{\"intent\": \"view_history\", \"category\": \"Order Management\", \"requires_handoff\": false, \"clarifying_questions\": [], \"confidence_threshold\": 0.95}"                                                                                                                                                                  |
|3  |Question: How do I contact support?¶Answer: You can contact support via email at support@example.com or by calling 1-800-123-4567.                                                                                                                                                                                                                                    |"{\"intent\": \"contact_support\", \"category\": \"Support\", \"requires_handoff\": true, \"clarifying_questions\": [], \"confidence_threshold\": 1.0}"                                                                                                                                                                          |
|4  |Question: What is the return policy?¶Answer: We accept returns within 30 days of purchase. Items must be in original condition.                                                                                                                                                                                                                                       |"{\"intent\": \"check_policy\", \"category\": \"Returns & Refunds\", \"requires_handoff\": false, \"clarifying_questions\": [\"Is the item damaged or defective?\", \"Do you have the original receipt?\"], \"confidence_threshold\": 0.85}"                                                                                     |
|5  |Question: Can I change my shipping address?¶Answer: Yes, you can update your shipping address in your profile settings before an order is shipped.                                                                                                                                                                                                                    |"{\"intent\": \"change_address\", \"category\": \"Shipping\", \"requires_handoff\": false, \"clarifying_questions\": [\"Has your order already been shipped?\"], \"confidence_threshold\": 0.9}"                                                                                                                                 |
|6  |Question: Do you offer international shipping?¶Answer: Yes, we ship to most countries worldwide. Shipping costs may vary.                                                                                                                                                                                                                                             |"{\"intent\": \"check_shipping_availability\", \"category\": \"Shipping\", \"requires_handoff\": false, \"clarifying_questions\": [], \"confidence_threshold\": 0.95}"                                                                                                                                                           |
|7  |Question: How do I track my package?¶Answer: A tracking link will be sent to your email once your order has been shipped.                                                                                                                                                                                                                                             |"{\"intent\": \"track_order\", \"category\": \"Shipping\", \"requires_handoff\": false, \"clarifying_questions\": [], \"confidence_threshold\": 0.9}"                                                                                                                                                                            |
|8  |Question: What payment methods do you accept?¶Answer: We accept Visa, MasterCard, PayPal, and Apple Pay.                                                                                                                                                                                                                                                              |"{\"intent\": \"check_payment_methods\", \"category\": \"Billing\", \"requires_handoff\": false, \"clarifying_questions\": [], \"confidence_threshold\": 1.0}"                                                                                                                                                                   |
|9  |Question: Can I cancel my subscription?¶Answer: Yes, you can cancel your subscription at any time from your account settings.                                                                                                                                                                                                                                         |"{\"intent\": \"cancel_subscription\", \"category\": \"Account Management\", \"requires_handoff\": true, \"clarifying_questions\": [\"Are you experiencing technical issues with the service?\", \"Would you like to pause your subscription instead?\"], \"confidence_threshold\": 0.8}"                                        |
|10 |Question: Where is the company located?¶Answer: Our headquarters are located in San Francisco, CA.                                                                                                                                                                                                                                                                    |"{\"intent\": \"company_info\", \"category\": \"General Info\", \"requires_handoff\": false, \"clarifying_questions\": [], \"confidence_threshold\": 1.0}"                                                                                                                                                                       |
|11 |Question: Why was my payment declined?¶Answer: Payments can be declined for various reasons including insufficient funds, incorrect card details, or bank security checks. Please check with your bank.                                                                                                                                                               |"{\"intent\": \"payment_issue\", \"category\": \"Billing\", \"requires_handoff\": false, \"clarifying_questions\": [\"What payment method did you use (Card, PayPal)?\", \"When did you attempt the payment?\", \"Did you see a specific error code?\"], \"confidence_threshold\": 0.85}"                                        |
|12 |Question: I have a technical issue with the app¶Answer: Please try clearing your cache or reinstalling the application. If the problem persists, contact support.                                                                                                                                                                                                     |"{\"intent\": \"technical_issue\", \"category\": \"Technical Support\", \"requires_handoff\": true, \"clarifying_questions\": [\"Which device are you using (iOS, Android, Web)?\", \"What version of the app do you have?\", \"Can you describe the error or behavior?\"], \"confidence_threshold\": 0.8}"                      |
|13 |Question: Из-за чего блокируются аккаунты?¶Answer: Согласно пользовательскому соглашению, аккаунт автоматически блокируется системой после нескольких жалоб пользователей, до выяснения причины жалоб.                                                                                                                                                                |"{\"intent\": \"provide_info\", \"category\": \"General\", \"extraction_date\": \"2026-01-11T22:24:02.516270\", \"source_document\": \"tmp2ptivzt9.pdf\", \"confidence_score\": 0.85, \"requires_handoff\": false, \"extraction_method\": \"table_row_extraction\", \"clarifying_questions\": [], \"confidence_threshold\": 0.8}"|
|14 |Question: Как узнать по какой причине жаловались пользователи?¶Answer: Причину жалоб может сообщить сотрудник службы поддержки.                                                                                                                                                                                                                                       |"{\"intent\": \"provide_info\", \"category\": \"General\", \"extraction_date\": \"2026-01-11T22:24:02.516311\", \"source_document\": \"tmp2ptivzt9.pdf\", \"confidence_score\": 0.85, \"requires_handoff\": false, \"extraction_method\": \"table_row_extraction\", \"clarifying_questions\": [], \"confidence_threshold\": 0.8}"|
|15 |Question: Когда будет удален аккаунт после блокировки?¶Answer: Если аккаунт заблокирован без возможности восстановления, он будет удален полностью в течение 48 часов.                                                                                                                                                                                                |"{\"intent\": \"provide_info\", \"category\": \"General\", \"extraction_date\": \"2026-01-11T22:24:02.516333\", \"source_document\": \"tmp2ptivzt9.pdf\", \"confidence_score\": 0.85, \"requires_handoff\": false, \"extraction_method\": \"table_row_extraction\", \"clarifying_questions\": [], \"confidence_threshold\": 0.8}"|
|16 |Question: Как разблокировать аккаунт?¶Answer: Для того чтобы узнать можно разблокировать аккаунт или нет, необходимо связаться с сотрудником службы поддержки и сообщить ему ID аккаунта, который указан в нижней части экрана блокировки. Если аккаунт можно разблокировать, сотрудник сообщит какие действия необходимо совершить для того чтобы его разблокировать.|"{\"intent\": \"provide_info\", \"category\": \"General\", \"extraction_date\": \"2026-01-11T22:24:02.516363\", \"source_document\": \"tmp2ptivzt9.pdf\", \"confidence_score\": 0.85, \"requires_handoff\": false, \"extraction_method\": \"table_row_extraction\", \"clarifying_questions\": [], \"confidence_threshold\": 0.8}"|
|17 |Question: Профиль на модерации¶Answer: Модераторы могут попросить изменить фото, био, имя или возраст профиля, если есть сомнения, что они реальны. На экране блокировки отобразится информация, которую необходимо изменить. После изменения аккаунт будет направлен на повторную проверку.                                                                          |"{\"intent\": \"provide_info\", \"category\": \"General\", \"extraction_date\": \"2026-01-11T22:24:02.516388\", \"source_document\": \"tmp2ptivzt9.pdf\", \"confidence_score\": 0.85, \"requires_handoff\": false, \"extraction_method\": \"table_row_extraction\", \"clarifying_questions\": [], \"confidence_threshold\": 0.8}"|
|18 |Question: Заблокирован аккаунт с действующей подпиской. Вернутся ли деньги?¶Answer: Заблокированы могут быть любые аккаунты, на которые поступили жалобы. Подписка при блокировке аккаунта не учитывается.                                                                                                                                                            |"{\"intent\": \"provide_info\", \"category\": \"General\", \"extraction_date\": \"2026-01-11T22:24:02.516420\", \"source_document\": \"tmp2ptivzt9.pdf\", \"confidence_score\": 0.85, \"requires_handoff\": false, \"extraction_method\": \"table_row_extraction\", \"clarifying_questions\": [], \"confidence_threshold\": 0.8}"|
|19 |Question: Отменится ли подписка, если аккаунт заблокирован?¶Answer: Подписка не отключается автоматически после блокировки аккаунта. Помочь отключить подписку в заблокированном аккаунте может сотрудник поддержки.                                                                                                                                                  |"{\"intent\": \"provide_info\", \"category\": \"General\", \"extraction_date\": \"2026-01-11T22:24:02.516461\", \"source_document\": \"tmp2ptivzt9.pdf\", \"confidence_score\": 0.85, \"requires_handoff\": false, \"extraction_method\": \"table_row_extraction\", \"clarifying_questions\": [], \"confidence_threshold\": 0.8}"|
|20 |Question: Как вернуть деньги за подписку?¶Answer: Запросить возврат за неиспользованные дни подписки можно у сотрудника поддержки. Если подписка была оплачена через Google Play или App Store, возврат можно оформить в соответствующем сторе.                                                                                                                       |"{\"intent\": \"provide_info\", \"category\": \"General\", \"extraction_date\": \"2026-01-11T22:24:02.516495\", \"source_document\": \"tmp2ptivzt9.pdf\", \"confidence_score\": 0.85, \"requires_handoff\": false, \"extraction_method\": \"table_row_extraction\", \"clarifying_questions\": [], \"confidence_threshold\": 0.8}"|
